,Year,County,Violent Crime Arrests,Estimated Population,Arrests Per Capita
774,2016,Sacramento,5005,1495297,0.0033471611325375495
775,2016,San Benito,183,56648,0.003230475921480017
776,2016,San Bernardino,8901,2139570,0.004160181718756572
777,2016,San Diego,8301,3288612,0.0025241652101251227
778,2016,San Joaquin,2576,733383,0.003512489381400987
779,2016,San Luis Obispo,669,277977,0.002406673933454926
780,2016,San Mateo,1299,766041,0.001695731690601417
781,2016,Santa Barbara,1387,446717,0.003104874003004139
782,2016,Santa Clara,3812,1927888,0.001977293286746948
783,2016,Santa Cruz,653,275902,0.0023667824082464063
784,2016,Shasta,560,178592,0.0031356387744131877
785,2016,Sierra,19,3203,0.005931938807368093
786,2016,Siskiyou,158,44739,0.0035315943583897717
787,2016,Solano,1592,431498,0.003689472488864375
788,2016,Sonoma,1382,501959,0.0027532129118115227
789,2016,Stanislaus,2504,540214,0.004635200124395147
790,2016,Sutter,410,97308,0.004213425412093559
791,2016,Tehama,282,63934,0.004410798636093472
792,2016,Trinity,76,13667,0.005560839979512695
793,2016,Tulare,2036,466339,0.004365922644256646
794,2016,Tuolumne,183,54900,0.0033333333333333335
795,2016,Ventura,2135,856508,0.0024926795780074442
796,2016,Yolo,558,214555,0.0026007317471044723
797,2016,Yuba,491,74345,0.006604344609590423
798,2017,Alameda,3965,1645359,0.002409808436942941
799,2017,Alpine,3,1151,0.0026064291920069507
800,2017,Amador,78,38382,0.0020322025949663907
801,2017,Butte,665,226404,0.0029372272574689495
802,2017,Calaveras,192,45168,0.004250797024442083
803,2017,Colusa,75,22043,0.003402440684117407
804,2017,Contra Costa,2582,1139513,0.0022658802488431462
805,2017,Del Norte,206,27124,0.007594750036867719
806,2017,El Dorado,517,185062,0.002793658341528785
807,2017,Fresno,3915,995975,0.003930821556765983
808,2017,Glenn,104,28731,0.003619783509101667
809,2017,Humboldt,481,136953,0.0035121538045898956
810,2017,Imperial,478,188334,0.002538044113118184
811,2017,Inyo,114,18619,0.006122777807615876
812,2017,Kern,3194,895112,0.0035682685518683695
813,2017,Kings,561,149537,0.0037515798765522914
814,2017,Lake,311,64945,0.004788667333897914
815,2017,Lassen,106,30918,0.0034284235720292385
816,2017,Los Angeles,28746,10241278,0.0028068762511866195
817,2017,Madera,498,156492,0.0031822712982133273
818,2017,Marin,471,263604,0.0017867710656894432
819,2017,Mariposa,46,18148,0.002534714569098523
820,2017,Mendocino,367,89134,0.004117396279758566
821,2017,Merced,1050,274665,0.0038228387308175413
822,2017,Modoc,58,9580,0.0060542797494780795
823,2017,Mono,52,13713,0.0037920221687449867
824,2017,Monterey,1164,442365,0.002631311247499237
825,2017,Napa,397,142408,0.002787764732318409
826,2017,Nevada,215,98828,0.0021754968227627796
827,2017,Orange,6237,3194024,0.0019527091844018705
828,2017,Placer,779,382837,0.0020348085477631473
829,2017,Plumas,102,19819,0.005146576517483223
830,2017,Riverside,5449,2384783,0.002284903909496168
831,2017,Sacramento,5074,1514770,0.0033496834502927835
832,2017,San Benito,222,56854,0.003904738452879305
833,2017,San Bernardino,8855,2160256,0.004099051223558689
834,2017,San Diego,8695,3316192,0.00262198328685432
835,2017,San Joaquin,2885,746868,0.0038627977099032224
836,2017,San Luis Obispo,680,280101,0.002427695724042399
837,2017,San Mateo,1415,770203,0.001837177990737507
838,2017,Santa Barbara,1291,450663,0.0028646682776265193
839,2017,Santa Clara,4133,1938180,0.002132412882188445
840,2017,Santa Cruz,750,276603,0.0027114673376644506
841,2017,Shasta,589,178605,0.003297780017356737
842,2017,Sierra,20,3207,0.006236357966947303
843,2017,Siskiyou,155,44688,0.0034684926602219835
844,2017,Solano,1616,436023,0.0037062265063998916
845,2017,Sonoma,1484,505120,0.0029379157427937915
846,2017,Stanislaus,2284,548057,0.0041674497360675985
847,2017,Sutter,450,96956,0.004641280580882049
848,2017,Tehama,181,63995,0.0028283459645284787
849,2017,Trinity,84,13628,0.006163780452010567
850,2017,Tulare,2117,471842,0.004486671385760488
851,2017,Tuolumne,184,54707,0.0033633721461604547
852,2017,Ventura,2093,857386,0.0024411408630418503
853,2017,Yolo,499,218896,0.0022796213727066736
854,2017,Yuba,464,74577,0.006221757378280166
855,2018,Alameda,4132,1660202,0.002488853765987512
856,2018,Alpine,5,1154,0.004332755632582322
857,2018,Amador,72,38094,0.0018900614269963774
858,2018,Butte,785,227621,0.0034487151888446146
