Entity Name,Fiscal Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total
Tuolumne,2012,12310033,5758933,780787
Ventura,2012,143011229,43151706,16678987
Yolo,2012,9577766,16048418,2016168
Yuba,2012,13459281,0,0
Alameda,2013,127499852,304784421,25351714
Alpine,2013,2671745,1008523,256778
Amador,2013,8485586,4610683,611668
Butte,2013,13698920,44389202,4473741
Calaveras,2013,7895150,4690101,960592
Colusa,2013,5330896,5247593,479316
Contra Costa,2013,95542526,125361277,10534267
Del Norte,2013,3502618,4720791,482993
El Dorado,2013,29114809,14071265,2240412
Fresno,2013,79777121,103025530,16346870
Glenn,2013,5311040,6159273,1015906
Humboldt,2013,14351845,27826262,1747821
Imperial,2013,18633417,27888189,2397520
Inyo,2013,6344153,3768327,716812
Kern,2013,99246960,94374873,11730407
Kings,2013,13134936,14430753,929490
Lake,2013,9627501,8305268,1673727
Lassen,2013,4368294,5990769,772826
Los Angeles,2013,1606687356,1572960136,187877576
Madera,2013,13028986,12577120,1001463
Marin,2013,29368407,36710191,6262440
Mariposa,2013,5147593,3104782,443581
Mendocino,2013,11094429,16090757,1618039
Merced,2013,17823187,26153015,3498586
Modoc,2013,1830184,2601052,556497
Mono,2013,6401221,1940807,485604
Monterey,2013,34866328,60196557,4148163
Napa,2013,26108288,21543331,4406369
Nevada,2013,13692859,16701434,1510353
Orange,2013,345772927,236578845,24510722
Placer,2013,56743470,31953346,0
Plumas,2013,5967814,3110233,57976
Riverside,2013,353637596,186350178,20603908
Sacramento,2013,211816029,167648792,21367813
San Benito,2013,5146423,5483527,1276909
San Bernardino,2013,303728933,212176089,0
San Diego,2013,306211682,297001609,53235207
San Joaquin,2013,56667112,77273317,12526125
San Luis Obispo,2013,29659642,36485123,6033463
San Mateo,2013,102687628,119313785,16744140
Santa Barbara,2013,66845754,58324299,8580793
Santa Clara,2013,113465318,280402596,39504864
Santa Cruz,2013,25866520,47818975,5412640
Shasta,2013,20113438,26452678,3209467
Sierra,2013,2447447,1300266,188159
Siskiyou,2013,8471665,7492262,551776
Solano,2013,62374923,46571362,5655933
Sonoma,2013,70627546,57709593,10033500
Stanislaus,2013,39494522,67099837,6333884
Sutter,2013,8147947,25688467,0
Tehama,2013,7744448,8333806,1581031
Trinity,2013,2896694,3916708,556146
Tulare,2013,38766731,49090787,6459126
Tuolumne,2013,11749235,6424511,0
Ventura,2013,145130990,44406582,16615386
Yolo,2013,9891498,15946523,1045338
Yuba,2013,11599572,289799,0
