,County,Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total,Population,Police Spending Per Capita,Mental Health Spending Per Capita,Drug and Alcohol Abuse Services Spending Per Capita
435,San Diego,2012,304001717,288447554.0,50839292.0,3153521.0,96.40072699690283,91.46841070663554,16.12143759309039
436,San Joaquin,2012,56566287,74006180.0,8778753.0,698555.0,80.97613931615979,105.94180844743792,12.56701762924895
437,San Luis Obispo,2012,27878918,35344792.0,4885595.0,271504.0,102.68326801815074,130.18147798927455,17.99455993281867
438,San Mateo,2012,99049965,109817031.0,15793385.0,735206.0,134.72409773587268,149.36906254845582,21.481577952301805
439,Santa Barbara,2012,65808644,63835759.0,8741046.0,428194.0,153.68885131505812,149.08139534883722,20.4137517106732
440,Santa Cruz,2012,24482145,48097097.0,5660468.0,267234.0,91.6131368014549,179.98120373904518,21.18169095249856
441,Shasta,2012,20656945,26664399.0,3220362.0,177591.0,116.3175217212584,150.14499045559742,18.13358785073568
442,Siskiyou,2012,8670165,8287107.0,454283.0,44841.0,193.35351575567003,184.81093195959056,10.130973885506569
443,Solano,2012,60219364,47740840.0,6110086.0,416133.0,144.71182049969602,114.72495572329039,14.683012402284847
444,Sonoma,2012,66253267,51845893.0,10247750.0,487954.0,135.77769011013334,106.25159953602184,21.00146735143067
445,Stanislaus,2012,32347555,60891900.0,5297709.0,521675.0,62.00710212296928,116.7238223031581,10.155190492164662
446,Tehama,2012,7699289,8143448.0,1407819.0,63590.0,121.07704041515962,128.06177071866645,22.13899984274257
447,Trinity,2012,2662011,3414996.0,545294.0,13740.0,193.74170305676856,248.54410480349344,39.68660844250364
448,Tulare,2012,40084792,48550031.0,6964691.0,450599.0,88.95890137350504,107.74553649697403,15.456516769899622
449,Ventura,2012,143011229,43151706.0,16678987.0,834487.0,171.3762215588739,51.71045924022783,19.98711423904746
450,Alameda,2013,127499852,304784421.0,25351714.0,1567167.0,81.35690197662406,194.48113761966658,16.176778862750428
451,Alpine,2013,2671745,1008523.0,256778.0,1164.0,2295.3135738831616,866.4286941580756,220.5996563573883
452,Amador,2013,8485586,4610683.0,611668.0,37304.0,227.4712095217671,123.59754986060476,16.39684752305383
453,Butte,2013,13698920,44389202.0,4473741.0,222185.0,61.655467290771206,199.78487296622185,20.135207147197157
454,Calaveras,2013,7895150,4690101.0,960592.0,45424.0,173.81010038746038,103.25160707995774,21.147234941880946
455,Colusa,2013,5330896,5247593.0,479316.0,21698.0,245.68605401419487,241.8468522444465,22.090330906074293
456,Contra Costa,2013,95542526,125361277.0,10534267.0,1083937.0,88.1439843828562,115.65365607041738,9.718523309011502
457,Del Norte,2013,3502618,4720791.0,482993.0,27792.0,126.02972078295913,169.86150690846287,17.378850028785262
458,El Dorado,2013,29114809,14071265.0,2240412.0,180729.0,161.0964980716985,77.85836805382645,12.39652739737397
459,Glenn,2013,5311040,6159273.0,1015906.0,28424.0,186.850548831973,216.6926892766676,35.74113425274416
460,Humboldt,2013,14351845,27826262.0,1747821.0,135021.0,106.29342842965168,206.08840106353827,12.94480858533117
461,Imperial,2013,18633417,27888189.0,2397520.0,180179.0,103.41614172572831,154.78046276203108,13.306323156416674
462,Inyo,2013,6344153,3768327.0,716812.0,18557.0,341.87384814355767,203.06768335399042,38.627579888990674
463,Kern,2013,99246960,94374873.0,11730407.0,863724.0,114.9058727093377,109.26508120649652,13.581198392078951
464,Kings,2013,13134936,14430753.0,929490.0,150498.0,87.27648207949608,95.88667623490014,6.176095363393533
465,Lake,2013,9627501,8305268.0,1673727.0,64763.0,148.65742785232308,128.24094004292576,25.84387690502293
466,Lassen,2013,4368294,5990769.0,772826.0,32795.0,133.2,182.6732428723891,23.56536057325812
467,Los Angeles,2013,1606687356,1572960136.0,187877576.0,10020599.0,160.33845441774488,156.97266560611797,18.74913625422991
468,Madera,2013,13028986,12577120.0,1001463.0,151338.0,86.09196632702957,83.1061597219469,6.617392855726916
469,Marin,2013,29368407,36710191.0,6262440.0,257522.0,114.04232259768098,142.55166937193715,24.318077678800258
470,Mariposa,2013,5147593,3104782.0,443581.0,18195.0,282.9125034350096,170.63929651003022,24.379280021984062
471,Mendocino,2013,11094429,16090757.0,1618039.0,88206.0,125.77862050200666,182.4224769290071,18.34386549667823
