County,Year,Population
Tehama,1980,38888
Trinity,1980,11858
Tulare,1980,245738
Tuolumne,1980,33928
Ventura,1980,529174
Yolo,1980,113374
Yuba,1980,49733
Alameda,1981,1117700
Alpine,1981,1090
Amador,1981,19800
Butte,1981,146790
Calaveras,1981,21350
Colusa,1981,13015
Contra Costa,1981,662850
Del Norte,1981,18610
El Dorado,1981,87900
Fresno,1981,523215
Glenn,1981,21780
Humboldt,1981,109745
Imperial,1981,93370
Inyo,1981,17900
Kern,1981,412730
Kings,1981,75035
Lake,1981,37690
Lassen,1981,22250
Los Angeles,1981,7555045
Madera,1981,65475
Marin,1981,222880
Mariposa,1981,11300
Mendocino,1981,67785
Merced,1981,137575
Modoc,1981,8835
Mono,1981,8800
Monterey,1981,296530
Napa,1981,99650
Nevada,1981,54225
Orange,1981,1974475
Placer,1981,120750
Plumas,1981,17570
Riverside,1981,683675
Sacramento,1981,796985
San Benito,1981,25480
San Bernardino,1981,917625
San Diego,1981,1902600
San Francisco,1981,684000
San Joaquin,1981,356120
San Luis Obispo,1981,159275
San Mateo,1981,589715
Santa Barbara,1981,303140
Santa Clara,1981,1311590
Santa Cruz,1981,191000
Shasta,1981,118500
Sierra,1981,3080
Siskiyou,1981,40340
Solano,1981,241820
Sonoma,1981,305010
Stanislaus,1981,271675
Sutter,1981,53240
Tehama,1981,39630
Trinity,1981,12150
Tulare,1981,250770
Tuolumne,1981,34820
Ventura,1981,538450
Yolo,1981,114500
Yuba,1981,49780
Alameda,1982,1134030
Alpine,1982,1110
Amador,1982,20230
Butte,1982,150750
Calaveras,1982,22250
Colusa,1982,13485
Contra Costa,1982,672855
Del Norte,1982,18790
El Dorado,1982,90875
Fresno,1982,535480
Glenn,1982,22120
Humboldt,1982,110235
Imperial,1982,94810
Inyo,1982,18150
Kern,1982,426270
Kings,1982,76750
Lake,1982,39255
Lassen,1982,23050
Los Angeles,1982,7690120
Madera,1982,68000
Marin,1982,222905
Mariposa,1982,11550
Mendocino,1982,69190
Merced,1982,141500
Modoc,1982,9085
Mono,1982,9100
Monterey,1982,303010
Napa,1982,100560
Nevada,1982,57455
Orange,1982,2024400
Placer,1982,125045
Plumas,1982,18010
Riverside,1982,711765
Sacramento,1982,819600
San Benito,1982,26330
San Bernardino,1982,949730
San Diego,1982,1940610
San Francisco,1982,691200
San Joaquin,1982,368360
San Luis Obispo,1982,163950
San Mateo,1982,592770
Santa Barbara,1982,309890
Santa Clara,1982,1332425
Santa Cruz,1982,194525
Shasta,1982,121100
Sierra,1982,3150
Siskiyou,1982,40940
Solano,1982,250615
Sonoma,1982,311350
Stanislaus,1982,278460
Sutter,1982,54580
Tehama,1982,40690
Trinity,1982,12300
Tulare,1982,257220
Tuolumne,1982,35890
Ventura,1982,552150
Yolo,1982,116370
Yuba,1982,50650
Alameda,1983,1151690
Alpine,1983,1120
Amador,1983,20610
Butte,1983,153780
Calaveras,1983,23190
Colusa,1983,13930
Contra Costa,1983,684230
Del Norte,1983,18840
El Dorado,1983,92775
Fresno,1983,548895
Glenn,1983,22445
Humboldt,1983,109640
Imperial,1983,96050
Inyo,1983,18420
Kern,1983,440450
Kings,1983,79260
Lake,1983,40825
Lassen,1983,23650
Los Angeles,1983,7846985
Madera,1983,70000
Marin,1983,222490
Mariposa,1983,11750
Mendocino,1983,70295
Merced,1983,145465
Modoc,1983,9315
Mono,1983,9250
Monterey,1983,310915
Napa,1983,101355
Nevada,1983,59635
Orange,1983,2065525
Placer,1983,128470
Plumas,1983,18120
Riverside,1983,740705
Sacramento,1983,842445
San Benito,1983,27180
San Bernardino,1983,978840
San Diego,1983,1981890
San Francisco,1983,699800
San Joaquin,1983,380650
San Luis Obispo,1983,168350
San Mateo,1983,599610
Santa Barbara,1983,317970
Santa Clara,1983,1355450
Santa Cruz,1983,198200
Shasta,1983,122525
Sierra,1983,3250
Siskiyou,1983,41220
Solano,1983,258425
Sonoma,1983,317765
Stanislaus,1983,285175
Sutter,1983,56100
Tehama,1983,41705
Trinity,1983,12350
Tulare,1983,263940
Tuolumne,1983,36980
Ventura,1983,566050
Yolo,1983,118220
Yuba,1983,51470
Alameda,1984,1170400
Alpine,1984,1080
Amador,1984,21090
Butte,1984,156590
Calaveras,1984,23820
Colusa,1984,14035
Contra Costa,1984,694215
Del Norte,1984,18830
El Dorado,1984,94275
Fresno,1984,563655
Glenn,1984,22665
Humboldt,1984,109905
Imperial,1984,96720
Inyo,1984,18260
Kern,1984,453340
Kings,1984,81045
Lake,1984,42760
Lassen,1984,23825
Los Angeles,1984,7984895
Madera,1984,71900
Marin,1984,222390
Mariposa,1984,11950
Mendocino,1984,71305
Merced,1984,150335
Modoc,1984,9465
Mono,1984,9000
Monterey,1984,318370
Napa,1984,101850
Nevada,1984,61320
Orange,1984,2103125
Placer,1984,132010
Plumas,1984,18090
Riverside,1984,774515
Sacramento,1984,861365
San Benito,1984,28050
San Bernardino,1984,1007890
